Altium Designer Pick and Place Locations
C:\Users\raum\Dropbox\Designs\UCL\Inhouse_Design\UC03_USB-UART\Project Outputs for UC03_Lagrange\Pick Place for UC03_Lagrange.csv

========================================================================================================================
File Design Information:

Date:       27-07-26
Time:       15:11
Revision:   Not in VersionControl
Variant:    No variations
Units used: mm

"Designator","Comment","Layer","Footprint","Center-X(mm)","Center-Y(mm)","Rotation","Description"
"C1","2.2uF","TopLayer","CAPC1608X90N_2","4.9000","2.5000","270","Ceramic MLCC CAP"
"C2","0.1uF","TopLayer","CAPC1608X90N_2","11.0000","2.5000","270","Ceramic MLCC CAP"
"C3","4.7uF","TopLayer","CAPC1608X90N_2","12.6000","2.5000","270","Ceramic MLCC CAP"
"C4","0.1uF","TopLayer","CAPC1608X90N_2","1.2000","2.5000","90","Ceramic MLCC CAP"
"C5","4.7uF","TopLayer","CAPC1608X90N_2","18.4213","14.6213","45","Ceramic MLCC CAP"
"C6","0.1uF","TopLayer","CAPC1608X90N_2","15.2323","12.5000","135","Ceramic MLCC CAP"
"C7","4.7uF","TopLayer","CAPC1608X90N_2","23.7071","13.5606","45","Ceramic MLCC CAP"
"D1","TPD2E2U06-Q1","TopLayer","SC70_3","11.5000","9.5000","90","Automotive Dual-Channel High-Speed ESD Protection Device"
"D2","GRN","TopLayer","LED-0603-GREEN","2.5000","15.5000","0","CHIP LED GREEN"
"D3","GRN","TopLayer","LED-0603-GREEN","33.7000","18.0000","180","CHIP LED GREEN"
"D4","GRN","TopLayer","LED-0603-GREEN","33.7000","16.5000","180","CHIP LED GREEN"
"J1","629722000214","TopLayer","629722000214","4.1250","9.5000","270","WR-COM USB 2.0 Type C Receptacle Horizontal SMT"
"J2","JTAG","TopLayer","TC2030-MCP","19.9620","2.5000","180","Conector par ICD"
"P1","JST PA","TopLayer","2053380004","35.2375","9.5000","270","Header, 4-Pin"
"R1","2K","TopLayer","RESC1608X55N_2","2.5000","17.1000","0","Chip FIlm Resistor"
"R2","5.1K","TopLayer","RESC1608X55N_2","8.2500","11.5700","90","Chip FIlm Resistor"
"R3","5.1K","TopLayer","RESC1608X55N_2","9.0700","7.7500","0","Chip FIlm Resistor"
"R4","1M","TopLayer","RESC1608X55N_2","2.8000","2.5000","90","Chip FIlm Resistor"
"R5","5.1K","TopLayer","RESC1608X55N_2","14.8000","5.7000","180","Chip FIlm Resistor"
"R6","5.1K","TopLayer","RESC1608X55N_2","28.0000","15.0000","225","Chip FIlm Resistor"
"R7","5.1K","TopLayer","RESC1608X55N_2","29.1000","13.9000","225","Chip FIlm Resistor"
"R8","5.1K","TopLayer","RESC1608X55N_2","14.8000","7.2000","180","Chip FIlm Resistor"
"R9","22R","TopLayer","RESC1608X55N_2","28.6800","6.5000","0","Chip FIlm Resistor"
"R10","22R","TopLayer","RESC1608X55N_2","28.6800","8.5000","0","Chip FIlm Resistor"
"U1","RAA2144034GP3","TopLayer","SOT23-5","7.9000","2.5000","0","Low Iq Current LDO Regulator with Fixed 3.3V Output"
"U2","R7FA2L2074CNH","TopLayer","ALLEGRO_QFN-32_ET","20.0000","9.5000","315","Ultra low power 48 MHz Arm¢ç Cortex¢ç-M23 core, up to 128-KB code flash memory, 16-KB SRAM, USB 2.0 Full-Speed
module (USBFS), USB Type-C¢ç interface (USBCC), 12-bit A/D Converter, Security and Safety features"
